product_id,category,sub_category,user,rating,comment
1823,Thời Trang Nam,Đồ Bộ,t*****g,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
801,Thời Trang Nam,Áo,hoaruby173,5,"Áo y hình, chuẩn bị hàng nhanh, giao hàng cũng khá nhanh luôn. Đã mua 1 cái giờ quay lại săn sale mua cái t2 cho ôx"
473,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",tamnguyen8xx,5,"Ao depppppppp, giao hàg lâu quá. Van cho shop 5 sao va ủg hộ tiếpppppppp"
559,Thời Trang Nam,Áo Khoác,j*****2,5,Áo siuu dày siuu ấm nhé mnn.đỉnhh.mỗi cái ép dạ nên dễ dính bụiii
1013,Thời Trang Nam,Kính Mắt Nam,n*****1,5,", Đóng gói sản phẩm rất đẹp và chắc chắn"
394,Thời Trang Nam,Đồ lót,huemiunguyen,5,"RUỐC CÁ HỒI TRỘN TRỨNG CUA ĐỎ NẮP ĐỎ 130gr NHẬT BẢN












Sản phẩm là sự kết hợp tuyệt vời giữa Ruốc cá hồi vùng nước lạnh của biển Bắc Nhật Bản, giàu Omega 3-6-9, DHA, và trứng cua đỏ nổi tiếng.




Rất thích hợp cho quá trình ăn dặm của trẻ nhỏ (từ 6th) và người lớn, đặc biệt là những người cần bổ s"
215,Thời Trang Nam,Áo Khoác,my03031033,5,Hàng rất đẹp. Rất ưng ý. Mỗi tội chỉ có túi ngực chứ ko có túi sườn. Nhưng lại có 1 cái túi ở bên trong áo là điểm cộng.
668,Thời Trang Nam,Quần jeans,nhattruong2698,5,"giao hàng khá nhanh, sản phẩm như hình, chất lượng phù hợp với giá tiền, nên mua"
1195,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",no25251325,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
1063,Thời Trang Nam,Quần Dài/Quần Âu,minhha2408,5,"Giao hàng nhanh, quần hơi mỏng so với mình nghĩ, khoá chỉ có ở 1 túi"
252,Thời Trang Nam,Áo Khoác,hungnguyen1502,5,Đáng iu 
51,Thời Trang Nam,Áo Ba Lỗ,nguyenthao24042017,5,"Chất vải mặc rất mát, rất đáng tiền. Sau này sẽ ủng hộ shop tiếp"
1218,Thời Trang Nam,Đồ Bộ,Người dùng Shopee,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
311,Thời Trang Nam,Đồ lót,nguyentrongtuyen90,5,"Shop giao hàng nhanh, đóng gói đẹp và cẩn thận, có che tên sản phẩm :) mua cho anh zai mưa nên k bị ngại :))"
33,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",dinhvanphu2006,5,Hàng đc đẹp
58,Thời Trang Nam,Quần Dài/Quần Âu,t*****n,5,"huhu, quần thì quá tuyệt vời rồi, với cái giá thành này thì chất lượng khỏi phải bàn. Một chiếc quần tuyệt vời nhất mà tôi từng mua"
547,Thời Trang Nam,Áo Khoác,behatho96,5,"Giao hàng khá nhanh, đóng gói cẩn thận, chất áo dày dặn, hàng y hình"
2,Thời Trang Nam,Quần Short,iku.ahihi,5,"nowadays, Internet brings many benefits in our daily life. Firstly, we can search for necessary and useful things on the Internet to widen our knowledge. The Internet is a big repository knowledge. It helps us easily and quickly find information necessary. Secondly, Internet is a type of entertainme"
